survey_year,border_security_attitude,citizenship_status,immigration_attitude,vote_intention,immigrant_generation,approval_rating,political_party
2004,NA,1,1,1,NA,2,3
2004,NA,NA,1,NA,NA,3,3
2004,NA,NA,2,2,NA,4,3
2004,NA,1,2,2,1,1,1
2004,NA,1,1,NA,1,3,3
2004,NA,1,2,2,NA,1,2
2004,1,NA,2,2,NA,4,3
2004,NA,1,1,1,1,2,3
2004,NA,1,2,NA,NA,2,2
2004,NA,NA,1,2,NA,4,2
2004,NA,1,2,2,NA,2,3
2004,NA,1,1,1,NA,1,3
2004,NA,1,1,2,1,4,2
2004,NA,1,1,2,1,4,2
2004,NA,1,1,1,NA,2,3
2004,NA,NA,2,2,NA,4,3
2004,1,1,2,2,NA,4,3
2004,NA,1,1,2,NA,1,1
2004,NA,1,1,2,1,2,3
2004,NA,1,1,1,1,3,2
2004,1,NA,1,2,NA,4,2
2004,NA,1,1,NA,1,2,3
2004,1,1,1,1,1,2,3
2004,NA,1,2,2,NA,4,3
2004,NA,1,1,2,1,4,4
2004,NA,1,1,NA,1,1,1
2004,NA,1,1,1,NA,4,3
2004,NA,1,2,2,NA,2,3
2004,NA,NA,1,2,1,1,3
2004,NA,1,1,2,NA,2,3
2004,1,1,1,1,NA,4,4
2004,NA,NA,1,2,1,2,2
2004,1,NA,1,1,NA,4,3
2004,NA,NA,2,NA,NA,4,2
2004,NA,NA,1,NA,NA,1,2
2004,NA,1,2,NA,1,2,2
2004,NA,1,1,2,1,2,3
2004,1,NA,2,2,1,4,3
2004,NA,NA,1,1,1,4,3
2004,1,NA,1,2,1,4,3
2004,NA,1,1,2,1,1,2
2004,1,1,1,1,1,1,1
2004,NA,1,2,2,NA,2,3
2004,NA,NA,1,2,NA,4,3
2004,NA,1,2,NA,1,3,3
2004,NA,NA,1,NA,1,3,2
2004,NA,1,1,NA,NA,2,3
2004,NA,NA,2,NA,1,4,1
2004,NA,1,2,NA,1,8,3
2004,NA,NA,1,1,NA,1,1
2004,NA,NA,8,8,NA,8,1
2004,NA,1,1,NA,NA,8,1
2004,NA,NA,2,1,1,4,3
2004,NA,NA,1,NA,NA,4,3
2004,NA,1,2,1,1,4,1
2004,1,1,2,NA,1,4,3
2004,NA,1,2,NA,1,4,3
2004,NA,1,2,NA,1,1,3
2004,NA,NA,1,NA,1,1,2
2004,NA,1,8,9,1,9,2
2004,NA,NA,2,NA,NA,4,3
2004,NA,1,1,NA,NA,4,3
2004,NA,NA,2,NA,NA,9,4
2004,1,NA,1,1,1,8,3
2004,NA,1,1,1,NA,1,1
2004,NA,1,1,2,1,3,3
2004,NA,1,2,NA,1,3,3
2004,NA,1,1,2,NA,2,3
2004,NA,NA,2,2,1,4,3
2004,NA,NA,1,2,1,1,2
2004,NA,NA,2,1,1,4,3
2004,NA,NA,2,2,NA,4,3
2004,NA,NA,2,2,NA,4,3
2004,NA,1,1,2,NA,1,2
2004,NA,1,1,2,1,2,2
2004,NA,1,1,NA,1,4,3
2004,NA,1,1,2,NA,1,3
2004,NA,NA,1,1,1,2,2
2004,1,1,2,2,NA,4,4
2004,NA,NA,1,2,1,4,3
2004,NA,1,2,1,1,4,3
2004,NA,1,1,1,1,4,3
2004,NA,1,1,2,NA,4,3
2004,1,1,2,NA,1,2,3
2004,NA,NA,2,NA,NA,8,8
2004,NA,1,8,1,NA,4,4
2004,NA,1,2,2,1,4,3
2004,NA,NA,2,2,NA,3,3
2004,NA,1,1,1,NA,4,3
2004,NA,1,2,NA,NA,4,1
2004,NA,NA,2,2,NA,4,3
2004,NA,NA,2,NA,1,4,3
2004,NA,1,1,1,1,4,4
2004,NA,1,1,1,1,4,1
2004,NA,NA,1,NA,1,1,3
