gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
1,27,NA,NA,NA,NA,32,NA,1,2,2,NA,1,NA,NA
0,37,NA,NA,NA,NA,22,NA,2,NA,1,NA,1,NA,NA
1,24,NA,21,NA,NA,13,NA,1,3,2,NA,1,NA,NA
0,72,NA,2,NA,NA,38,NA,1,1,3,NA,1,NA,NA
0,42,NA,2,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,37,NA,5,NA,NA,36,NA,1,1,3,NA,1,NA,NA
1,43,NA,29,NA,NA,19,NA,2,NA,1,NA,0.5,NA,NA
0,22,NA,6,NA,NA,17,NA,1,3,2,NA,1,NA,NA
1,31,NA,5,NA,NA,22,NA,2,NA,1,NA,0.5,NA,NA
0,19,NA,NA,NA,NA,36,NA,1,1,3,NA,1,NA,NA
0,72,NA,11,NA,NA,4,NA,1,3,2,NA,NA,NA,NA
1,24,NA,3,NA,NA,40,NA,1,1,3,NA,1,NA,NA
1,35,NA,13,NA,NA,9,NA,1,2,2,NA,1,NA,NA
1,35,NA,21,NA,NA,9,NA,1,NA,NA,NA,NA,NA,NA
1,40,NA,24,NA,NA,16,NA,1,1,3,NA,1,NA,NA
0,40,NA,14,NA,NA,41,NA,1,2,2,NA,1,NA,NA
1,28,NA,12,NA,NA,31,NA,1,2,2,NA,0.5,NA,NA
1,43,NA,24,NA,NA,25,NA,1,NA,NA,NA,1,NA,NA
0,48,NA,6,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,53,NA,NA,NA,NA,19,NA,1,3,2,NA,1,NA,NA
0,50,NA,26,NA,NA,38,NA,1,2,2,NA,1,NA,NA
0,38,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,67,NA,13,NA,NA,28,NA,2,NA,1,NA,NA,NA,NA
0,19,NA,11,NA,NA,36,NA,1,1,3,NA,1,NA,NA
0,20,NA,22,NA,NA,37,NA,1,1,3,NA,0.5,NA,NA
1,46,NA,4,NA,NA,34,NA,2,NA,1,NA,1,NA,NA
0,40,NA,1,NA,NA,5,NA,1,1,3,NA,1,NA,NA
0,37,NA,3,NA,NA,5,NA,1,1,3,NA,NA,NA,NA
1,63,NA,23,NA,NA,42,NA,1,2,2,NA,0.5,NA,NA
0,50,NA,23,NA,NA,17,NA,1,2,2,NA,1,NA,NA
1,43,NA,4,NA,NA,13,NA,2,NA,1,NA,1,NA,NA
0,18,NA,6,NA,NA,36,NA,1,1,3,NA,1,NA,NA
0,65,NA,11,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,20,NA,NA,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
1,44,NA,14,NA,NA,36,NA,2,NA,1,NA,0.5,NA,NA
1,21,NA,NA,NA,NA,22,NA,2,NA,1,NA,1,NA,NA
0,53,NA,12,NA,NA,28,NA,1,2,2,NA,1,NA,NA
0,NA,NA,26,NA,NA,41,NA,1,NA,NA,NA,1,NA,NA
0,31,NA,3,NA,NA,31,NA,1,1,3,NA,1,NA,NA
0,47,NA,5,NA,NA,3,NA,1,3,2,NA,1,NA,NA
0,32,NA,23,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,70,NA,12,NA,NA,4,NA,1,2,2,NA,1,NA,NA
1,52,NA,22,NA,NA,36,NA,1,2,2,NA,NA,NA,NA
1,61,NA,22,NA,NA,4,NA,2,NA,1,NA,0.5,NA,NA
1,28,NA,5,NA,NA,11,NA,2,NA,1,NA,1,NA,NA
1,37,NA,6,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,28,NA,4,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,51,NA,21,NA,NA,32,NA,2,NA,1,NA,1,NA,NA
0,30,NA,6,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,18,NA,22,NA,NA,25,NA,1,1,3,NA,1,NA,NA
0,24,NA,NA,NA,NA,36,NA,2,NA,1,NA,NA,NA,NA
0,24,NA,6,NA,NA,14,NA,2,NA,1,NA,1,NA,NA
1,37,NA,21,NA,NA,4,NA,1,3,2,NA,1,NA,NA
0,40,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,47,NA,12,NA,NA,18,NA,2,NA,1,NA,1,NA,NA
1,59,NA,NA,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
1,32,NA,4,NA,NA,36,NA,2,NA,1,NA,1,NA,NA
1,61,NA,NA,NA,NA,25,NA,2,NA,1,NA,1,NA,NA
1,31,NA,11,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,90,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,27,NA,11,NA,NA,42,NA,2,NA,1,NA,1,NA,NA
0,30,NA,NA,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,26,NA,12,NA,NA,14,NA,2,NA,1,NA,1,NA,NA
0,48,NA,22,NA,NA,4,NA,1,1,3,NA,1,NA,NA
0,62,NA,3,NA,NA,4,NA,2,NA,1,NA,0.5,NA,NA
0,31,NA,5,NA,NA,17,NA,1,NA,NA,NA,1,NA,NA
1,31,NA,6,NA,NA,6,NA,2,NA,1,NA,1,NA,NA
1,31,NA,22,NA,NA,9,NA,1,NA,NA,NA,1,NA,NA
0,41,NA,23,NA,NA,28,NA,1,1,3,NA,1,NA,NA
1,54,NA,6,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
1,22,NA,14,NA,NA,27,NA,1,3,2,NA,1,NA,NA
0,61,NA,1,NA,NA,3,NA,1,1,3,NA,0.5,NA,NA
1,35,NA,23,NA,NA,9,NA,2,NA,1,NA,0.5,NA,NA
1,34,NA,13,NA,NA,9,NA,1,NA,NA,NA,1,NA,NA
0,26,NA,22,NA,NA,4,NA,1,1,3,NA,0.5,NA,NA
1,29,NA,2,NA,NA,4,NA,2,NA,1,NA,1,NA,NA
0,43,NA,23,NA,NA,9,NA,1,3,2,NA,1,NA,NA
0,32,NA,24,NA,NA,9,NA,1,3,2,NA,1,NA,NA
1,33,NA,21,NA,NA,28,NA,1,2,2,NA,1,NA,NA
0,33,NA,3,NA,NA,17,NA,1,NA,NA,NA,1,NA,NA
0,25,NA,2,NA,NA,19,NA,1,2,2,NA,1,NA,NA
0,27,NA,13,NA,NA,6,NA,1,NA,NA,NA,1,NA,NA
0,18,NA,3,NA,NA,34,NA,1,1,3,NA,0.5,NA,NA
1,43,NA,19,NA,NA,28,NA,2,NA,1,NA,1,NA,NA
0,27,NA,NA,NA,NA,9,NA,2,NA,1,NA,1,NA,NA
0,83,NA,NA,NA,NA,9,NA,1,NA,NA,NA,1,NA,NA
1,20,NA,4,NA,NA,6,NA,1,NA,NA,NA,1,NA,NA
1,51,NA,23,NA,NA,6,NA,1,2,2,NA,1,NA,NA
