survey_year,generation_label,n,support_rate
2002,First Generation,1974,95.94731509625126
2004,First Generation,1254,95.69377990430623
2010,First Generation,383,89.81723237597912
2021,First Generation,3057,83.02257114818453
2022,First Generation,2111,77.78304121269545
2002,Second Generation,513,85.7699805068226
2004,Second Generation,573,88.6561954624782
2010,Second Generation,661,92.58698940998487
2021,Second Generation,21,85.71428571428571
2022,Second Generation,4911,60.598656078191915
2002,Third+ Generation,348,79.3103448275862
2004,Third+ Generation,379,76.2532981530343
2010,Third+ Generation,239,86.61087866108787
2021,Third+ Generation,125,88.8
2022,Third+ Generation,495,71.11111111111113
