survey_year,age,gender,race,ethnicity,language_home,citizenship_status,place_birth,immigrant_generation,trump_support,border_wall_support,immigration_level_concern,border_asylum_performance,presidential_performance,crime_priority,immigration_restrictionism_composite,party_identification,immigration_attitude,border_security_attitude,political_party,vote_intention,approval_rating
2015,70,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,68,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,74,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,40,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,18,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,20,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,28,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,69,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,55,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,4,NA,NA
2015,40,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,78,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,60,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,19,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,51,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,57,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,67,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,50,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,77,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,36,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,80,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,19,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,68,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,84,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,58,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,68,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,23,1,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,65,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,60,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA
2015,68,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,58,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,75,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,NA,NA
2015,82,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
2015,50,2,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA
