gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,immigration_levels_opinion,legalization_support,deportation_worry,political_party
0,24,3,6,1,1,NA,NA,1,3,2,3,NA,2,2
0,39,1,NA,1,2,NA,NA,2,1,1,1,NA,3,NA
1,42,3,6,1,1,NA,0,1,3,2,3,NA,1,2
1,40,1,4,NA,1,NA,NA,1,1,3,1,NA,2,2
1,31,3,7,2,1,NA,0,1,3,2,1,NA,2,3
1,40,3,12,1,1,NA,0,1,3,2,3,NA,4,2
0,87,1,2,3,2,NA,1,2,3,1,1,NA,1,1
1,64,1,2,1,2,NA,1,1,3,2,3,NA,3,2
0,34,4,12,1,1,NA,1,1,3,2,3,NA,1,3
0,30,1,NA,1,1,NA,0,2,3,1,NA,NA,NA,NA
0,57,3,NA,1,1,NA,NA,2,1,1,NA,NA,4,2
1,23,1,14,NA,1,NA,0,1,3,2,3,NA,3,3
1,40,1,NA,1,1,NA,NA,2,3,1,NA,NA,1,NA
0,65,1,NA,5,2,NA,1,1,3,2,NA,NA,2,2
1,32,1,12,2,1,NA,0,1,3,2,3,NA,1,3
0,29,1,NA,1,2,NA,0,1,3,2,1,NA,1,NA
0,18,1,4,NA,1,NA,1,1,3,2,1,NA,4,3
1,46,1,1,2,2,NA,NA,1,1,3,1,NA,2,2
0,31,3,13,1,1,NA,NA,1,2,2,NA,NA,3,2
0,47,3,7,2,1,NA,0,1,3,2,3,NA,1,1
0,NA,NA,NA,NA,NA,NA,1,1,3,2,1,NA,1,3
0,23,1,12,1,1,NA,0,2,3,1,1,NA,2,3
0,20,1,NA,2,2,NA,0,1,2,2,1,NA,2,3
0,43,1,11,1,2,NA,1,1,3,2,1,NA,2,2
1,36,1,11,1,1,NA,NA,1,1,3,NA,NA,4,2
1,73,1,2,3,2,NA,1,2,3,1,1,NA,1,2
0,28,1,5,1,2,NA,NA,2,2,1,1,NA,1,NA
1,70,4,15,1,2,NA,1,1,3,2,3,NA,4,3
1,31,1,14,1,1,NA,1,1,3,2,3,NA,1,3
1,64,1,3,1,2,NA,1,1,2,2,1,NA,4,2
1,63,1,14,NA,1,NA,NA,1,1,3,3,NA,4,2
1,55,1,6,1,2,NA,1,1,3,2,2,NA,4,1
0,45,1,NA,1,2,NA,0,2,3,1,1,NA,1,NA
1,52,1,4,1,1,NA,1,2,3,1,3,NA,1,2
0,51,1,6,1,2,NA,1,1,3,2,NA,NA,1,NA
0,18,1,NA,NA,1,NA,NA,2,3,1,3,NA,4,3
0,80,3,5,3,2,NA,1,1,3,2,1,NA,1,2
1,31,1,6,1,1,NA,0,1,3,2,NA,NA,1,2
1,27,1,5,NA,1,NA,NA,2,1,1,3,NA,2,2
1,24,1,11,NA,1,NA,0,2,3,1,1,NA,1,3
0,58,1,NA,1,2,NA,1,1,3,2,1,NA,2,2
1,36,4,23,1,2,NA,NA,2,1,1,3,NA,4,3
0,59,4,23,1,1,NA,NA,1,1,3,1,NA,4,2
1,44,1,4,1,1,NA,0,2,3,1,3,NA,1,2
1,45,3,14,1,1,NA,NA,2,2,1,1,NA,4,2
1,78,1,7,5,2,NA,NA,2,3,1,NA,NA,4,2
0,40,3,2,4,1,NA,1,2,3,1,3,NA,2,NA
1,26,1,3,1,1,NA,0,1,3,2,3,NA,2,3
0,46,1,12,1,1,NA,1,2,3,1,1,NA,1,2
1,43,1,13,1,1,NA,1,2,3,1,1,NA,3,1
1,62,4,11,1,2,NA,NA,1,1,3,2,NA,1,3
1,30,1,NA,1,1,NA,0,2,3,1,3,NA,4,3
1,54,1,13,4,1,NA,NA,NA,1,NA,1,NA,4,3
1,65,4,5,4,1,NA,1,2,3,1,3,NA,4,2
1,45,1,13,NA,1,NA,0,1,3,2,1,NA,1,3
0,43,4,15,1,1,NA,0,2,3,1,3,NA,1,NA
0,42,2,5,1,1,NA,0,2,3,1,NA,NA,1,2
0,25,3,14,1,2,NA,1,1,3,2,3,NA,3,1
1,67,1,14,1,2,NA,NA,1,3,2,1,NA,4,2
1,28,3,13,1,1,NA,NA,2,1,1,NA,NA,4,NA
1,25,1,6,NA,1,NA,1,1,3,2,1,NA,1,NA
0,30,3,NA,1,2,NA,0,2,3,1,3,NA,1,NA
0,30,1,NA,1,1,NA,0,1,3,2,3,NA,4,NA
0,40,1,12,1,2,NA,0,2,2,1,3,NA,1,2
1,NA,1,NA,1,1,NA,1,2,3,1,NA,NA,1,3
1,55,4,13,1,1,NA,NA,1,1,3,3,NA,1,2
0,35,3,21,1,2,NA,NA,2,1,1,3,NA,4,2
0,50,4,22,1,2,NA,1,2,3,1,3,NA,4,NA
0,78,1,21,3,2,NA,NA,1,1,3,1,NA,4,2
1,63,1,1,1,2,NA,1,2,3,1,1,NA,4,2
0,48,1,NA,4,1,NA,0,2,3,1,3,NA,1,NA
0,19,3,NA,NA,2,NA,0,2,3,1,1,NA,4,3
1,20,1,2,NA,1,NA,NA,NA,NA,NA,2,NA,4,NA
