year,raw_name,concept,harmonized_name,values_recode,manual_review_needed,harmonization_notes,original_label
2002,AGE,age,age,Continuous variable (years),NO,Age in years at time of survey,99
2002,AGEARRI1,age,age,Continuous variable (years),NO,Age in years at time of survey,Age of Arrival (1-4)
2002,AGEARRI2,age,age,Continuous variable (years),NO,Age in years at time of survey,Age of Arrival (1-2)
2002,AGEARRI3,age,age,Continuous variable (years),NO,Age in years at time of survey,"Age of Arrival (10 or younger, older than 10)"
2002,AGECODE,age,age,Continuous variable (years),NO,Age in years at time of survey,Q.105 What is your age?
2002,ARIVEAGE,age,age,Continuous variable (years),NO,Age in years at time of survey,Age of Arrival
2002,BORNAGAI,age,age,Continuous variable (years),NO,Age in years at time of survey,"evangelical, catholic"
2002,CABORN,age,age,Continuous variable (years),NO,Age in years at time of survey,Table for Central Americans
2002,COLBORN,age,age,Continuous variable (years),NO,Age in years at time of survey,Table for Colombians
2002,CUBABORN,age,age,Continuous variable (years),NO,Age in years at time of survey,Table for Cubans
2002,DOMBORN,age,age,Continuous variable (years),NO,Age in years at time of survey,Table for Dominicans
2002,LANGUAGE,age,age,Continuous variable (years),YES - Missing label,Age in years at time of survey,NA
2002,MEXBORN,age,age,Continuous variable (years),NO,Age in years at time of survey,Table for Mexicans
2002,PRBORN,age,age,Continuous variable (years),NO,Age in years at time of survey,Table for Puerto Ricans
2002,PRILANG,age,age,Continuous variable (years),YES - Indirect age measure,Age in years at time of survey,Primary Language
2002,QN100,age,age,Continuous variable (years),YES - Indirect age measure,Age in years at time of survey,"Q.100 Would you consider yourself a born-again or evangelical Christian, or not?"
2002,QN105,age,age,Continuous variable (years),YES - Indirect age measure,Age in years at time of survey,Q.105 What is your age?
2002,QN115,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,"Q.115 INTERVIEWER: In what language did the respondent complete the interview: Only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?"
2002,QN11_06,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,Q.11 What do you think are the two most important issues for the government to address?- Better wages/increase minimum wage
2002,QN11_42,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,Q.11 What do you think are the two most important issues for the government to address?- Teenagers/youth/teen issues
2002,QN12_31,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,Q.12 What do you think are the two most important health care issues for the government to address?- Lack of coverage/insurance for poor/lower income/minorities
2002,QN12_35,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,Q.12 What do you think are the two most important health care issues for the government to address?- Inadequate coverage
2002,QN12_43,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,Q.12 What do you think are the two most important health care issues for the government to address?- Other healthcare/insurance/coverage
2002,QN12_44,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,Q.12 What do you think are the two most important health care issues for the government to address?- Shortage of healthcare professionals/doctors
2002,QN12_68,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,Q.12 What do you think are the two most important health care issues for the government to address?- Aging/old age/being a senior
2002,QN15A,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,"Q.15a For each of the following, please tell me whether or not it is something that has happened to you or your immediate family during the past year. Have you had problems paying your rent or mort..."
2002,QN25,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,Q.25 Some people say UNDOCUMENTED OR ILLEGAL immigrants help the economy by providing low-cost labor. Others say they hurt the economy by driving wages down. Which is closer to your views?
2002,QN47A,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,Q.47a Please tell me if each of these has been a problem for you during the last 12 months? How about .... Difficulty communicating with doctors or other health care providers because of language b...
2002,QN53,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,"Q.53 What language do you usually speak at home? Only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?"
2002,QN54,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,"Q.54 What language do you usually speak at work? Only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?"
2002,QN55,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,"Q.55 In what language are the news programs you usually watch on TV or listen to on the radio? Only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?"
2002,QN56,age,age,Continuous variable (years),YES - Long/complex label,Age in years at time of survey,"Q.56 What language do your children usually speak with their friends? Only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?"
