survey_year,immigration_levels_opinion,legalization_support,deportation_worry,gender,age,education,income,marital_status,employment,state,citizenship_status,place_birth,parent_nativity,immigrant_generation,political_party
2002,1,1,NA,1,NA,3,23,1,1,33,1,2,3,2,2
2002,3,1,NA,1,NA,1,NA,3,1,33,1,1,NA,1,1
2002,1,1,NA,2,NA,2,11,2,1,33,1,1,NA,1,1
2002,3,1,NA,1,NA,1,12,2,1,33,2,1,NA,1,3
2002,3,1,NA,1,NA,1,3,3,3,33,2,1,NA,1,NA
2002,3,1,NA,2,NA,1,11,5,3,33,1,2,1,3,3
2002,2,1,NA,1,NA,1,5,1,1,33,2,1,NA,1,1
2002,1,1,NA,2,NA,1,13,1,1,33,1,2,3,1,1
2002,3,1,NA,2,NA,1,5,5,1,33,1,1,NA,1,1
2002,1,1,NA,1,NA,2,6,1,1,33,2,1,NA,1,2
2002,1,1,NA,2,NA,2,4,5,1,33,1,2,3,2,NA
2002,1,1,NA,2,NA,3,2,1,1,33,2,1,NA,1,3
2002,3,1,NA,2,NA,2,22,2,1,33,1,1,NA,1,2
2002,2,1,NA,1,NA,1,3,1,1,33,2,1,NA,1,NA
2002,1,1,NA,2,NA,2,4,2,1,33,1,1,NA,1,1
2002,1,1,NA,2,NA,1,NA,5,1,33,2,1,NA,1,3
2002,1,1,NA,2,NA,1,4,1,1,33,1,1,NA,1,1
2002,3,1,NA,2,NA,3,6,2,1,33,1,2,3,1,2
2002,3,1,NA,2,NA,1,21,2,2,33,1,2,3,2,1
2002,3,0,NA,2,NA,1,3,5,3,4,NA,NA,NA,NA,1
2002,3,1,NA,2,NA,1,3,1,3,4,1,2,1,NA,1
2002,NA,1,NA,1,NA,2,12,1,3,4,NA,NA,NA,NA,1
2002,1,1,NA,1,NA,3,13,4,3,4,NA,NA,NA,NA,2
2002,NA,1,NA,2,NA,1,24,1,1,4,1,2,3,2,1
2002,3,1,NA,2,NA,1,1,5,1,4,2,1,NA,1,2
2002,1,NA,NA,1,NA,1,13,1,1,4,1,2,1,3,3
2002,1,1,NA,1,NA,3,24,1,1,4,NA,NA,NA,NA,2
2002,1,1,NA,1,NA,3,11,3,3,4,NA,NA,NA,NA,3
2002,3,1,NA,2,NA,2,2,3,3,4,NA,NA,NA,NA,1
2002,3,0,NA,2,NA,1,5,1,3,33,1,2,3,1,1
2002,3,1,NA,2,NA,1,1,5,2,33,1,2,1,1,1
