year,raw_variable_name,label,matched_concepts,matched_keywords
2002,QN20,"Q.20 Do you think abortion should be legal in all cases, legal in most cases, illegal in most cases, or illegal in all cases?",border_immigration,illegal
2002,QN20,"Q.20 Do you think abortion should be legal in all cases, legal in most cases, illegal in most cases, or illegal in all cases?",border_immigration,illegal
2002,CITIZEN2,Recoded citizen,citizenship,citizen
2002,CITIZEN2,Recoded citizen,citizenship,citizen
2002,QN68,Q.68 Now we would like to ask you about US citizenship. Are you...?,citizenship,citizen
2002,QN68,Q.68 Now we would like to ask you about US citizenship. Are you...?,citizenship,citizen
2002,QN69,Q.69 What year did you become a citizen?,citizenship,citizen
2002,QN69,Q.69 What year did you become a citizen?,citizenship,citizen
2002,QN83,"Q.83 As you may know, some countries allow people to be legal citizens of their country even if they are also US citizens. Are you a legal citizen of your country or origin?",citizenship,citizen
2002,QN83,"Q.83 As you may know, some countries allow people to be legal citizens of their country even if they are also US citizens. Are you a legal citizen of your country or origin?",citizenship,citizen
2002,REC_69,1996 Citizen,citizenship,citizen
2002,REC_69,1996 Citizen,citizenship,citizen
2002,RQN69,What year did you become a citizen?,citizenship,citizen
2002,RQN69,What year did you become a citizen?,citizenship,citizen
2002,QN11_34,Q.11 What do you think are the two most important issues for the government to address?- Senior citizens/more help for the elderly,citizenship; political_attitudes,citizen; government
2002,QN11_34,Q.11 What do you think are the two most important issues for the government to address?- Senior citizens/more help for the elderly,citizenship; political_attitudes,citizen; government
2002,FORBORN2,Foreign Born (W/ PR as US born),generation,us born
2002,FORBORN2,Foreign Born (W/ PR as US born),generation,us born
2002,GEN1TO2,Generation (PR as gen 2),generation,generation
2002,GEN1TO2,Generation (PR as gen 2),generation,generation
2002,GEN1TO4,Generation (PR as gen 1),generation,generation
2002,GEN1TO4,Generation (PR as gen 1),generation,generation
2002,QN23,"Q.23 Do you think there are too many, too few, or about the right amount of immigrants living in the United States today?",immigration,immigrant
2002,QN23,"Q.23 Do you think there are too many, too few, or about the right amount of immigrants living in the United States today?",immigration,immigrant
2002,QN28,Q.28 Do you think adult Latino/Hispanic immigrants need to learn to speak English to succeed in the US or can they succeed even if they only speak Spanish?,immigration,immigrant
2002,QN28,Q.28 Do you think adult Latino/Hispanic immigrants need to learn to speak English to succeed in the US or can they succeed even if they only speak Spanish?,immigration,immigrant
2002,QN30,"Q.30 If you were talking to a Latino/Hispanic immigrant who had just arrived in this country, which of the following statements offers the best advice?",immigration,immigrant
2002,QN30,"Q.30 If you were talking to a Latino/Hispanic immigrant who had just arrived in this country, which of the following statements offers the best advice?",immigration,immigrant
2002,QN31,"Q.31 Again, which is the best advice to a recently arrived Latino/Hispanic immigrant?",immigration,immigrant
2002,QN31,"Q.31 Again, which is the best advice to a recently arrived Latino/Hispanic immigrant?",immigration,immigrant
2002,QN25,Q.25 Some people say UNDOCUMENTED OR ILLEGAL immigrants help the economy by providing low-cost labor. Others say they hurt the economy by driving wages down. Which is closer to your views?,immigration; border_immigration,immigrant; undocumented
2002,QN25,Q.25 Some people say UNDOCUMENTED OR ILLEGAL immigrants help the economy by providing low-cost labor. Others say they hurt the economy by driving wages down. Which is closer to your views?,immigration; border_immigration,immigrant; undocumented
2002,QN26,Q.26 What would you think of a proposal that would give many of the undocumented or illegal Latino/Hispanic immigrants working in the U.S. a chance to obtain legal status? Is this something you would favor or oppose?,immigration; citizenship; border_immigration,immigrant; legal status; undocumented
2002,QN26,Q.26 What would you think of a proposal that would give many of the undocumented or illegal Latino/Hispanic immigrants working in the U.S. a chance to obtain legal status? Is this something you would favor or oppose?,immigration; citizenship; border_immigration,immigrant; legal status; undocumented
2002,QN12_87,Q.12 What do you think are the two most important health care issues for the government to address?- Immigrants/help immigrants,immigration; political_attitudes,immigrant; government
2002,QN12_87,Q.12 What do you think are the two most important health care issues for the government to address?- Immigrants/help immigrants,immigration; political_attitudes,immigrant; government
2002,QN11_33,Q.11 What do you think are the two most important issues for the government to address?- Immigration/illegal alien issues (general),immigration; political_attitudes; border_immigration,immigration; government; illegal
2002,QN11_33,Q.11 What do you think are the two most important issues for the government to address?- Immigration/illegal alien issues (general),immigration; political_attitudes; border_immigration,immigration; government; illegal
2002,PARTLEAN,Q.90/91. Combination Leaned Party Table,political_attitudes,party
2002,PARTLEAN,Q.90/91. Combination Leaned Party Table,political_attitudes,party
2002,Q12_1,Q.12 What do you think are the two most important health care issues for the government to address?- Diseases,political_attitudes,government
2002,Q12_1,Q.12 What do you think are the two most important health care issues for the government to address?- Diseases,political_attitudes,government
2002,Q12_10,Q.12 What do you think are the two most important health care issues for the government to address?- Social Issues Related to Health,political_attitudes,government
2002,Q12_10,Q.12 What do you think are the two most important health care issues for the government to address?- Social Issues Related to Health,political_attitudes,government
2002,Q12_11,Q.12 What do you think are the two most important health care issues for the government to address?- Terrorism/Public Safety,political_attitudes,government
2002,Q12_11,Q.12 What do you think are the two most important health care issues for the government to address?- Terrorism/Public Safety,political_attitudes,government
2002,Q12_12,Q.12 What do you think are the two most important health care issues for the government to address?- Other,political_attitudes,government
2002,Q12_12,Q.12 What do you think are the two most important health care issues for the government to address?- Other,political_attitudes,government
2002,Q12_13,Q.12 What do you think are the two most important health care issues for the government to address?- Medicaid,political_attitudes,government
2002,Q12_13,Q.12 What do you think are the two most important health care issues for the government to address?- Medicaid,political_attitudes,government
2002,Q12_14,Q.12 What do you think are the two most important health care issues for the government to address?- None,political_attitudes,government
2002,Q12_14,Q.12 What do you think are the two most important health care issues for the government to address?- None,political_attitudes,government
