year,raw_variable_name,label,matched_concepts,matched_keywords
2008,combo14,Citizenship & Registration (qn5/5A/9/14),citizenship,citizen
2008,combo24,Citizenship & Dem vs. Rep Primary (qn5/5A/9/14/23/24),citizenship,citizen
2008,qn9,9. Are you a citizen of the United States?,citizenship,citizen
2008,comb27a2,Citizenship & Candidate Summary (qn5/5A/9/14/23/24/26/27/27A),citizenship; political_attitudes,citizen; candidate
2008,combo15,Citizenship & Candidate Choice (qn5/5A/9/15),citizenship; political_attitudes,citizen; candidate
2008,combo16,Citizenship & Leaned Candidate (qn5/5A/9/15/16),citizenship; political_attitudes,citizen; candidate
2008,combo23,Citizenship & Whether Voted (qn5/5A/9/14/23),citizenship; political_attitudes,citizen; vote
2008,combo25,Citizenship & Whether 1st Time Primary Voter (qn5/5A/9/14/23/25),citizenship; political_attitudes,citizen; vote
2008,combo26,Citizenship & Candidate-Dem Primary (qn5/5A/9/14/23/24/26),citizenship; political_attitudes,citizen; candidate
2008,combo27,Citizenship & Candidate-Rep Primary (qn5/5A/9/14/23/24/27),citizenship; political_attitudes,citizen; candidate
2008,combo27a,Citizenship & Candidate-Other Primary (qn5/5A/9/14/23/24/27A),citizenship; political_attitudes,citizen; candidate
2008,qn17g,"17G. Is the issue of Immigration extremely important, very important, somewhat important, or not too important?",immigration,immigration
2008,qn36a,36A. Have you Been stopped by police or other authorities and asked about your immigration status?,immigration,immigration
2008,qn51,"51. In general, do you think immigrants increase, reduce, or have no effect on crime in your community?",immigration,immigrant
2008,qn40,"40. Should local police take an active role in identifying undocumented or illegal immigrants, or should enforcement be left mainly to the federal authorities?",immigration; border_immigration,immigrant; undocumented
2008,qn40a,"40a. Just your best guess, in the past year, has there been an increase, a decrease, or no change in the number of immigration enforcement actions around the country aimed at undocumented immigrants?",immigration; border_immigration,immigration; undocumented
2008,qn40ca,40CA. Do you ..... of the following immigration enforcement actions: Workplace raids to discourage employers from hiring undocumented or illegal immigrants,immigration; border_immigration,immigration; undocumented
2008,qn40cc,40CC. Do you ..... of the following immigration enforcement actions: Criminal prosecution of employers who hire undocumented immigrants,immigration; border_immigration,immigration; undocumented
2008,qn40cd,40CD. Do you ..... of the following immigration enforcement actions: Criminal prosecution of undocumented immigrants who are working without authorization,immigration; border_immigration,immigration; undocumented
2008,qn41,"41. Should an illegal immigrant who graduated from a high school in your state and is accepted to a state public college qualify for the in-state tuition rate, or shouldn't they?",immigration; border_immigration,immigrant; illegal
2008,qn37,"37. Regardless of your own immigration or citizenship status, how much, if at all, do you worry that you, a family member, or a close friend could be deported? Would you say that you worry a lot, some, not much, or not at all?",immigration; citizenship,immigration; citizen
2008,qn38,"38. Regardless of your own immigration or citizenship status, how much do you worry that you, a family member, or a close friend could be deported? Would you say that you worry a lot, some, not much, or not at all?",immigration; citizenship,immigration; citizen
2008,qn18g,18G. Which candidate do you think will do a better job dealing with: Immigration,immigration; political_attitudes,immigration; candidate
