survey_year,generation_label,n,mean_val,se_val,index
2010,1st Generation,396,0.025748796574808473,0.024653868317551564,Enforcement
2010,2nd Generation,679,0.03611122891968392,0.01949103627037067,Enforcement
2010,3rd+ Generation,253,-0.1189550925402593,0.03592146265715775,Enforcement
2018,1st Generation,689,-0.22882395490523003,0.03036200077147606,Enforcement
2018,2nd Generation,325,0.12813589153994273,0.05978270184281567,Enforcement
2018,3rd+ Generation,383,0.3007222002511516,0.058778887044690226,Enforcement
2021,1st Generation,3056,0.016490283373692793,0.01590265681589648,Enforcement
2021,3rd+ Generation,125,-0.32842047125565305,0.06104387601692289,Enforcement
2022,1st Generation,2111,0.08573846997411148,0.018168190265549375,Enforcement
2022,2nd Generation,4935,-0.045160970479254305,0.0130880875514632,Enforcement
2022,3rd+ Generation,496,0.08363342595007271,0.04218066289975557,Enforcement
2002,1st Generation,2005,-0.20060358342469198,0.012319675125484809,General Attitudes
2002,2nd Generation,523,0.028429922439438943,0.026639228449822885,General Attitudes
2002,3rd+ Generation,361,0.04409330545440661,0.03551834010299025,General Attitudes
2004,1st Generation,1254,-0.1762044859595831,0.01958554188503898,General Attitudes
2004,2nd Generation,573,0.06414587564268469,0.04528528018287058,General Attitudes
2004,3rd+ Generation,379,0.4877345199966715,0.0747491446133401,General Attitudes
2007,1st Generation,1198,-0.051351845793300495,0.028971441913261727,General Attitudes
2007,2nd Generation,309,0.14432276714722483,0.05558860821595421,General Attitudes
2007,3rd+ Generation,322,0.06197039009769803,0.055587984507363235,General Attitudes
2010,1st Generation,383,0.020266777760220976,0.052538801780024874,General Attitudes
2010,2nd Generation,661,-0.07377931747109598,0.03462576827875986,General Attitudes
2010,3rd+ Generation,239,0.1291373548952267,0.07495021395142981,General Attitudes
2011,1st Generation,718,-0.10079813429815286,0.030344988202188825,General Attitudes
2011,2nd Generation,219,0.08488535485202917,0.07629101036268308,General Attitudes
2011,3rd+ Generation,257,0.20927302612248902,0.07998920101524891,General Attitudes
2012,1st Generation,550,-0.03395906028207646,0.04202232733629581,General Attitudes
2012,2nd Generation,1148,0.007613070668903948,0.02963986946444377,General Attitudes
2018,1st Generation,746,-0.1261493375959124,0.022557007582831988,General Attitudes
2018,2nd Generation,334,0.08398252555031285,0.04008892794438477,General Attitudes
2018,3rd+ Generation,398,0.1324657672238018,0.04078780631549769,General Attitudes
2021,1st Generation,3071,-0.0010721331773317767,0.016155550158705536,General Attitudes
2021,3rd+ Generation,125,0.003087802042937394,0.0773173821444022,General Attitudes
2022,1st Generation,2111,0.3251124955621864,0.01989331663227922,General Attitudes
2022,2nd Generation,4911,-0.15059079051882635,0.014343697579927026,General Attitudes
2022,3rd+ Generation,495,0.08158122340883263,0.04389010816821346,General Attitudes
