survey_year,generation_label,n,liberalism_mean,liberalism_se,liberalism_n,restrictionism_mean,restrictionism_se,restrictionism_n
2002,1st Generation,2014,-0.2973514896725255,0.012594567970810062,1974,-0.07936577824442008,0.022750687732093017,1866
2002,2nd Generation,526,-0.008620740792168754,0.043802047055102135,513,0.08276726321656808,0.04481216269727898,496
2002,3rd+ Generation,362,0.17463897527312602,0.06169298622394654,348,-0.06940542658759655,0.05381697555912181,342
2004,1st Generation,1291,-0.1762044859595831,0.01958554188503898,1254,NA,NA,0
2004,2nd Generation,599,0.06414587564268469,0.04528528018287058,573,NA,NA,0
2004,3rd+ Generation,396,0.4877345199966715,0.0747491446133401,379,NA,NA,0
2007,1st Generation,1312,NA,NA,0,-0.051351845793300495,0.028971441913261727,1198
2007,2nd Generation,337,NA,NA,0,0.14432276714722483,0.05558860821595421,309
2007,3rd+ Generation,347,NA,NA,0,0.06197039009769803,0.055587984507363235,322
2008,1st Generation,1302,NA,NA,0,NA,NA,0
2008,2nd Generation,317,NA,NA,0,NA,NA,0
2008,3rd+ Generation,394,NA,NA,0,NA,NA,0
2009,1st Generation,931,NA,NA,0,NA,NA,0
2009,2nd Generation,560,NA,NA,0,NA,NA,0
2009,3rd+ Generation,519,NA,NA,0,NA,NA,0
2010,1st Generation,408,0.020266777760220976,0.052538801780024874,383,0.008135316154069906,0.022959020963220483,404
2010,2nd Generation,690,-0.07377931747109598,0.03462576827875986,661,0.018032554401662192,0.01738097397792901,687
2010,3rd+ Generation,256,0.1291373548952267,0.07495021395142981,239,-0.03485386155540223,0.03183563618677199,255
2011,1st Generation,728,-0.10079813429815286,0.030344988202188825,718,-0.1489822347171525,0.03244032231521986,718
2011,2nd Generation,227,0.08488535485202917,0.07629101036268308,219,0.13503676849871774,0.07073254351105336,222
2011,3rd+ Generation,265,0.20927302612248902,0.07998920101524891,257,0.2972628645567572,0.07420004189718177,259
2012,1st Generation,564,-0.03395906028207646,0.04202232733629581,550,0.0013165403345813894,0.04454665388717935,557
2012,2nd Generation,1174,0.007613070668903948,0.02963986946444377,1148,-0.005790887019185451,0.028714245330209085,1152
2015,1st Generation,795,NA,NA,0,NA,NA,0
2015,2nd Generation,349,NA,NA,0,NA,NA,0
2015,3rd+ Generation,356,NA,NA,0,NA,NA,0
2016,1st Generation,818,NA,NA,0,-0.1474453686440533,0.029116305230285626,801
2016,2nd Generation,689,NA,NA,0,0.1736819710057161,0.0441214042562016,680
2018,1st Generation,756,-0.18313311609456184,0.0257512378117982,731,-0.13934600066745445,0.024969229258577377,735
2018,2nd Generation,337,0.040491339327085894,0.0584677805243662,324,0.14092437672617167,0.039643998120960214,336
2018,3rd+ Generation,405,0.3170872822670905,0.06726243913315023,384,0.12907755331100962,0.03633994485242608,395
2021,1st Generation,3084,-0.0010721331773317806,0.016155550158705536,3071,0.016490283373692724,0.01590265681589648,3056
2021,3rd+ Generation,125,0.0030878020429373977,0.0773173821444022,125,-0.32842047125565305,0.06104387601692289,125
2022,1st Generation,2141,0.3251124955621864,0.01989331663227922,2111,0.08573846997411148,0.018168190265549375,2111
2022,2nd Generation,4962,-0.15059079051882635,0.014343697579927026,4911,-0.045160970479254305,0.0130880875514632,4935
2022,3rd+ Generation,503,0.08158122340883263,0.04389010816821346,495,0.0836334259500727,0.04218066289975557,496
2023,1st Generation,2314,NA,NA,0,NA,NA,0
2023,2nd Generation,1597,NA,NA,0,NA,NA,0
2023,3rd+ Generation,1091,NA,NA,0,NA,NA,0
