survey_year,generation_label,n_total,liberalism_mean,liberalism_se,liberalism_n,restrictionism_mean,restrictionism_se,restrictionism_n,concern_mean,concern_se,concern_n
2002,First Generation,2014,-0.29735148967252556,0.012594567970809944,1974,-0.07936577824442029,0.02275068773209319,1866,NA,NA,0
2002,Second Generation,526,-0.008620740792168761,0.043802047055102204,513,0.08276726321656806,0.044812162697278994,496,NA,NA,0
2002,Third+ Generation,362,0.1746389752731261,0.06169298622394664,348,-0.06940542658759645,0.0538169755591218,342,NA,NA,0
2004,First Generation,1291,-0.17620448595958396,0.01958554188503905,1254,NA,NA,0,NA,NA,0
2004,Second Generation,599,0.06414587564268491,0.04528528018287069,573,NA,NA,0,NA,NA,0
2004,Third+ Generation,396,0.48773451999667156,0.07474914461333998,379,NA,NA,0,NA,NA,0
2007,First Generation,1312,NA,NA,0,-0.051351845793300634,0.028971441913261366,1198,-0.2643178381224118,0.02586212781050997,1294
2007,Second Generation,337,NA,NA,0,0.14432276714722483,0.055588608215954155,309,0.37370876245884577,0.05208036323724069,336
2007,Third+ Generation,347,NA,NA,0,0.06197039009769803,0.05558798450736324,322,0.6266774866688861,0.04814680574642446,345
2010,First Generation,408,0.020266777760221004,0.05253880178002499,383,0.008135316154069889,0.02295902096322047,404,-0.017827983866344033,0.04957430435464346,403
2010,Second Generation,690,-0.0737793174710958,0.034625768278759704,661,0.018032554401662185,0.01738097397792902,687,-0.20937762679640518,0.036616059379882,683
2010,Third+ Generation,256,0.12913735489522668,0.07495021395142981,239,-0.034853861555402245,0.03183563618677197,255,0.5802317331615652,0.055828065891603836,253
2012,First Generation,564,-0.03395906028207631,0.042022327336295656,550,0.0013165403345812873,0.04454665388717928,557,NA,NA,0
2012,Second Generation,1174,0.007613070668903796,0.029639869464443847,1148,-0.005790887019185225,0.028714245330209054,1152,NA,NA,0
2016,First Generation,475,NA,NA,0,-0.013475647657934523,0.0447535221203839,469,NA,NA,0
2016,Second Generation,966,NA,NA,0,0.005643873508353859,0.03298886185538789,946,NA,NA,0
2021,First Generation,3084,-0.0010721331773319808,0.016155550158705397,3071,0.016490283373692568,0.015902656815896515,3056,0.008260156702942308,0.01802555421095909,3062
2021,Second Generation,21,-0.2333664666331329,0.2060076315630958,21,-0.09623451358043549,0.2075512453725477,21,-0.4284292738145093,0.24167607825232928,21
2021,Third+ Generation,125,0.0030878020429373734,0.07731738214440224,125,-0.32842047125565305,0.061043876016922856,125,0.17868425108174796,0.08752184049830757,124
2022,First Generation,2141,0.3251124955621874,0.019893316632279407,2111,0.08573846997411103,0.018168190265549295,2111,NA,NA,0
2022,Second Generation,4962,-0.15059079051882696,0.014343697579927225,4911,-0.04516097047925388,0.013088087551463066,4935,NA,NA,0
2022,Third+ Generation,503,0.0815812234088326,0.04389010816821355,495,0.08363342595007268,0.04218066289975556,496,NA,NA,0
