survey_year,generation_label,n,liberalism_mean,liberalism_se,liberalism_ci_lower,liberalism_ci_upper,restrictionism_mean,restrictionism_se,restrictionism_ci_lower,restrictionism_ci_upper,net_liberalism_mean,net_liberalism_se
2002,1st Generation,2014,-0.2973514896725255,0.012594567970810062,-0.3220368428953132,-0.2726661364497378,-0.07936577824442008,0.022750687732093017,-0.12395712619932239,-0.034774430289517766,-0.22068045188112134,0.02718394164520719
2002,2nd Generation,526,-0.008620740792168754,0.043802047055102135,-0.09447275302016893,0.07723127143583143,0.08276726321656808,0.04481216269727898,-0.005064575670098728,0.17059910210323487,-0.08528767371018402,0.07350961165232547
2002,3rd+ Generation,362,0.17463897527312602,0.06169298622394654,0.05372072227419081,0.2955572282720612,-0.06940542658759655,0.05381697555912181,-0.17488669868347528,0.03607584550828219,0.2714379132944467,0.09539706642617973
2004,1st Generation,1291,-0.1762044859595831,0.01958554188503898,-0.2145921480542595,-0.1378168238649067,NA,NA,NA,NA,NA,NA
2004,2nd Generation,599,0.06414587564268469,0.04528528018287058,-0.024613273515741635,0.152905024801111,NA,NA,NA,NA,NA,NA
2004,3rd+ Generation,396,0.4877345199966715,0.0747491446133401,0.3412261965545249,0.6342428434388181,NA,NA,NA,NA,NA,NA
2007,1st Generation,1312,NA,NA,NA,NA,-0.051351845793300495,0.028971441913261727,-0.10813587194329348,0.00543218035669249,NA,NA
2007,2nd Generation,337,NA,NA,NA,NA,0.14432276714722483,0.05558860821595421,0.03536909504395458,0.2532764392504951,NA,NA
2007,3rd+ Generation,347,NA,NA,NA,NA,0.06197039009769803,0.055587984507363235,-0.046982059536733914,0.17092283973212996,NA,NA
2008,1st Generation,1302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,2nd Generation,317,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,3rd+ Generation,394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,1st Generation,931,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,2nd Generation,560,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2009,3rd+ Generation,519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2010,1st Generation,408,0.020266777760220976,0.052538801780024874,-0.08270927372862777,0.12324282924906974,0.008135316154069906,0.022959020963220483,-0.036864364933842236,0.05313499724198205,0.009892720318021348,0.05603135987806956
2010,2nd Generation,690,-0.07377931747109598,0.03462576827875986,-0.14164582329746528,-0.005912811644726665,0.018032554401662192,0.01738097397792901,-0.016034154595078665,0.05209926339840305,-0.09094014490115543,0.038214807973218946
2010,3rd+ Generation,256,0.1291373548952267,0.07495021395142981,-0.017765064449575707,0.2760397742400291,-0.03485386155540223,0.03183563618677199,-0.09725170848147532,0.027543985370670862,0.16667689151378393,0.08189003672089404
2011,1st Generation,728,-0.10079813429815286,0.030344988202188825,-0.16027431117444296,-0.041321957421862766,-0.1489822347171525,0.03244032231521986,-0.21256526645498341,-0.08539920297932158,0.058851690112152966,0.04188422462943635
2011,2nd Generation,227,0.08488535485202917,0.07629101036268308,-0.06464502545882966,0.234415735162888,0.13503676849871774,0.07073254351105336,-0.0035990167829468567,0.27367255378038235,-0.04815325673188628,0.09329815110190692
2011,3rd+ Generation,265,0.20927302612248902,0.07998920101524891,0.05249419213260115,0.3660518601123769,0.2972628645567572,0.07420004189718177,0.15183078243828094,0.44269494667523346,-0.10855549431932406,0.10689256667103979
