survey_year,n,liberalism_mean,liberalism_se,liberalism_n,restrictionism_mean,restrictionism_se,restrictionism_n,concern_mean,concern_se,concern_n,net_liberalism_mean,net_liberalism_se,ambivalence_mean,ambivalence_se
2002,4213,1.865104053039849e-15,0.01564219447851737,4087,-7.600451530587988e-17,0.016000512024577765,3906,NA,NA,0,0.007430853699329508,0.0254012896977401,1.6858066496712343,0.01247002414102777
2004,2288,-1.2342180417775858e-15,0.02128141326896896,2208,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2007,2000,NA,NA,0,6.077137822566086e-16,0.023363465675799895,1832,-8.947982436973855e-17,0.022479005982349795,1979,NA,NA,NA,NA
2008,2015,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2009,2012,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2010,1375,2.111467102047844e-17,0.027692438781086025,1304,0.004639034981687527,0.01266593870034351,1367,1.835133352468641e-16,0.02711630722733207,1360,-0.00452368450629235,0.030220039484663338,0.9430633246986038,0.024229551442676515
2011,1220,1.8578103879405886e-16,0.028939954008661426,1194,3.137143959491268e-16,0.028879549112895447,1199,NA,NA,0,0.0034190254304516336,0.03813121013466987,1.2606847060031836,0.03285640754057515
2012,1765,-6.680657573933511e-16,0.024084152542954054,1724,3.830846007791275e-16,0.024021532944603005,1733,NA,NA,0,3.4822459264184825e-4,0.030919990861574924,1.5754072297660004,0.022027686394796044
2015,1500,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA
2016,1507,NA,NA,0,-2.009046391624186e-16,0.025984985016737048,1481,NA,NA,0,NA,NA,NA,NA
2018,1501,8.427532057938256e-16,0.026334032657486333,1442,-0.0027668841104421475,0.01860600987937248,1469,-2.6651341656544553e-17,0.025967457200228992,1483,0.01371023848482808,0.030003809751548666,1.1446134784744793,0.02483934261142366
2021,3375,-0.001400609685189793,0.015405269345642543,3355,3.839802771643075e-4,0.015099758349385725,3339,6.868385119468237e-17,0.017287692604876663,3346,-0.0013654735475449556,0.01718417892482285,1.4449317667337833,0.013822295645960566
2022,7647,7.233133138587939e-16,0.011506420936118601,7553,-2.934840299169328e-4,0.010332761201490513,7578,NA,NA,0,-4.990603539706005e-4,0.012070612628156317,1.5871430788902787,0.009532045282622154
2023,5078,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA
