survey_year,generation_label,n,mean_value,se,ci_lower,ci_upper,index,index_label
2002,"1st Generation
(Foreign-born)",1974,-0.2973514896725256,0.012594567970809946,-0.3220368428953131,-0.27266613644973814,liberalism_index,Immigration Policy Liberalism
2002,"2nd Generation
(US-born, foreign parents)",513,-0.008620740792168761,0.0438020470551022,-0.09447275302016907,0.07723127143583154,liberalism_index,Immigration Policy Liberalism
2002,"3rd+ Generation
(US-born, US-born parents)",348,0.17463897527312613,0.06169298622394664,0.053720722274190724,0.29555722827206155,liberalism_index,Immigration Policy Liberalism
2004,"1st Generation
(Foreign-born)",1254,-0.17620448595958396,0.01958554188503905,-0.2145921480542605,-0.13781682386490743,liberalism_index,Immigration Policy Liberalism
2004,"2nd Generation
(US-born, foreign parents)",662,0.23389676266377094,0.049082785555871776,0.13769450297426225,0.3300990223532796,liberalism_index,Immigration Policy Liberalism
2004,"3rd+ Generation
(US-born, US-born parents)",290,0.23023211358131246,0.07403316348867486,0.08512711314350974,0.3753371140191152,liberalism_index,Immigration Policy Liberalism
2010,"1st Generation
(Foreign-born)",1,-0.3254854026402519,NA,NA,NA,liberalism_index,Immigration Policy Liberalism
2010,"2nd Generation
(US-born, foreign parents)",6,0.8063358374741166,0.7158266045835477,-0.596684307509637,2.20935598245787,liberalism_index,Immigration Policy Liberalism
2011,"1st Generation
(Foreign-born)",1,-0.28195631828822815,NA,NA,NA,liberalism_index,Immigration Policy Liberalism
2011,"2nd Generation
(US-born, foreign parents)",3,-0.28195631828822815,0,-0.28195631828822815,-0.28195631828822815,liberalism_index,Immigration Policy Liberalism
2011,"3rd+ Generation
(US-born, US-born parents)",3,-0.28195631828822815,0,-0.28195631828822815,-0.28195631828822815,liberalism_index,Immigration Policy Liberalism
2012,"1st Generation
(Foreign-born)",1,-0.8556234995275744,NA,NA,NA,liberalism_index,Immigration Policy Liberalism
2012,"2nd Generation
(US-born, foreign parents)",8,-0.6879990775746724,0.16762442195290206,-1.0165429446023604,-0.35945521054698437,liberalism_index,Immigration Policy Liberalism
2021,"1st Generation
(Foreign-born)",3071,-0.0010721331773319812,0.016155550158705397,-0.03273701148839456,0.030592745133730597,liberalism_index,Immigration Policy Liberalism
2021,"2nd Generation
(US-born, foreign parents)",21,-0.2333664666331329,0.2060076315630958,-0.6371414244968007,0.17040849123053484,liberalism_index,Immigration Policy Liberalism
2021,"3rd+ Generation
(US-born, US-born parents)",125,0.0030878020429373734,0.07731738214440224,-0.148454266960091,0.15462987104596576,liberalism_index,Immigration Policy Liberalism
2022,"1st Generation
(Foreign-born)",2111,0.32511249556218735,0.019893316632279407,0.2861215949629197,0.364103396161455,liberalism_index,Immigration Policy Liberalism
