survey_year,total_obs,valid_generation,gen_1_2_3,liberalism_available,restrictionism_available,concern_available,liberalism_mean,restrictionism_mean,concern_mean,liberalism_range
2002,4213,2902,2902,4087,3906,0,6.279176645361067e-17,4.537871845513344e-17,NA,2.8369977064551426
2004,2288,2286,2286,2208,0,0,1.7799950545979845e-16,NA,NA,3.4152394701474744
2007,2000,1996,1996,0,1832,1979,NA,1.7135188013915693e-16,1.998414154527607e-16,NA
2008,2015,2013,2013,0,0,0,NA,NA,NA,NA
2009,2012,2010,2010,0,0,0,NA,NA,NA,NA
2010,1375,7,7,1304,1367,1360,-2.0263152436168494e-16,0.004639034981687512,-5.066022343761294e-17,3.3954637203431055
2011,1220,7,7,1194,1199,0,2.205514206265094e-16,3.4285926949453615e-17,NA,3.825634591319826
2012,1765,9,9,1724,1733,0,-8.811368913446231e-17,-2.2503715228824e-17,NA,4.022986126869649
2015,1500,0,0,0,0,0,NA,NA,NA,NA
2016,1507,5,5,0,1481,0,NA,-3.9550465367294987e-17,NA,NA
2018,1501,0,0,1442,1469,1483,1.3794886190936336e-16,-0.0027668841104419874,-9.226852922692501e-17,3.3038556870990425
2021,3375,3230,3230,3355,3339,3346,-0.001400609685189324,3.8398027716417954e-4,1.0830564047383709e-16,3.5411997851059738
2022,7647,7606,7606,7553,7578,0,-1.1603903065599201e-16,-2.9348402991758766e-4,NA,2.9174307282619623
2023,5078,0,0,0,0,0,NA,NA,NA,NA
