survey_year,immigrant_generation,n,liberalism_mean,liberalism_sd,liberalism_min,liberalism_max,extreme_mean,extreme_range
2002,1,2014,-0.29735148967252556,0.5595731257316137,-0.41232606744173095,2.4246716390134115,FALSE,TRUE
2002,2,526,-0.008620740792168761,0.992094609575881,-0.41232606744173095,2.4246716390134115,FALSE,TRUE
2002,3,362,0.1746389752731261,1.1508677348554734,-0.41232606744173095,2.4246716390134115,FALSE,FALSE
2004,1,1291,-0.17620448595958396,0.6935605146394914,-0.3232722143391403,3.091967255808334,FALSE,TRUE
2004,2,693,0.23389676266377094,1.2628686917908314,-0.3232722143391403,3.091967255808334,FALSE,TRUE
2004,3,302,0.23023211358131246,1.26073934494044,-0.3232722143391403,3.091967255808334,FALSE,FALSE
2007,1,1312,NA,NA,Inf,-Inf,NA,FALSE
2007,2,337,NA,NA,Inf,-Inf,NA,FALSE
2007,3,347,NA,NA,Inf,-Inf,NA,FALSE
2008,1,1302,NA,NA,Inf,-Inf,NA,FALSE
2008,2,711,NA,NA,Inf,-Inf,NA,FALSE
2009,1,931,NA,NA,Inf,-Inf,NA,FALSE
2009,2,1079,NA,NA,Inf,-Inf,NA,FALSE
2010,1,1,-0.3254854026402519,NA,-0.3254854026402519,-0.3254854026402519,FALSE,FALSE
2010,2,6,0.8063358374741166,1.7534099255387101,-0.3254854026402519,3.0699783177028537,TRUE,TRUE
2011,1,1,-0.28195631828822815,NA,-0.28195631828822815,-0.28195631828822815,FALSE,FALSE
2011,2,3,-0.28195631828822815,0,-0.28195631828822815,-0.28195631828822815,FALSE,FALSE
2011,3,3,-0.28195631828822815,0,-0.28195631828822815,-0.28195631828822815,TRUE,FALSE
2012,1,1,-0.8556234995275744,NA,-0.8556234995275744,-0.8556234995275744,TRUE,FALSE
2012,2,8,-0.6879990775746724,0.47411346182148895,-0.8556234995275744,0.4853718760956421,TRUE,FALSE
2016,2,5,NA,NA,Inf,-Inf,NA,FALSE
2021,1,3084,-0.0010721331773319808,0.8952857257085023,-2.7416661482159737,0.7995336368899999,FALSE,TRUE
2021,2,21,-0.2333664666331329,0.9440455653764602,-2.668592419445761,0.7808647092948728,FALSE,TRUE
2021,3,125,0.0030878020429373734,0.8644346115860595,-2.668592419445761,0.7995336368899999,FALSE,FALSE
2022,1,2141,0.3251124955621874,0.9140107671359319,-1.776930203483973,1.1405005247779891,TRUE,TRUE
2022,2,4962,-0.15059079051882696,1.0051852036110152,-1.776930203483973,1.1405005247779891,FALSE,TRUE
2022,3,503,0.0815812234088326,0.976493261386711,-1.776930203483973,1.1405005247779891,FALSE,FALSE
