year,raw_name,concept,harmonized_name,values_recode,notes
2002,QN20,border_immigration,border_security_attitude,See codebook - needs manual review,"Original label: Q.20 Do you think abortion should be legal in all cases, legal in most cases, illegal in most cases, or illegal in all cases?"
2002,QN20,border_immigration,border_security_attitude,See codebook - needs manual review,"Original label: Q.20 Do you think abortion should be legal in all cases, legal in most cases, illegal in most cases, or illegal in all cases?"
2002,QN11_33,border_immigration,immigration_attitude,See codebook - needs manual review,Original label: Q.11 What do you think are the two most important issues for the government to address?- Immigration/illegal alien issues (general)
2002,QN11_33,border_immigration,immigration_attitude,See codebook - needs manual review,Original label: Q.11 What do you think are the two most important issues for the government to address?- Immigration/illegal alien issues (general)
2002,QN25,border_immigration,immigration_attitude,"1=Yes, 0=No",Original label: Q.25 Some people say UNDOCUMENTED OR ILLEGAL immigrants help the economy by providing low-cost labor. Others say they hurt the economy by driving wages down. Which is closer to your views?
2002,QN25,border_immigration,immigration_attitude,"1=Yes, 0=No",Original label: Q.25 Some people say UNDOCUMENTED OR ILLEGAL immigrants help the economy by providing low-cost labor. Others say they hurt the economy by driving wages down. Which is closer to your views?
2002,QN26,border_immigration,immigration_attitude,"1=Yes, 0=No",Original label: Q.26 What would you think of a proposal that would give many of the undocumented or illegal Latino/Hispanic immigrants working in the U.S. a chance to obtain legal status? Is this something you would favor or oppose?
2002,QN26,border_immigration,immigration_attitude,"1=Yes, 0=No",Original label: Q.26 What would you think of a proposal that would give many of the undocumented or illegal Latino/Hispanic immigrants working in the U.S. a chance to obtain legal status? Is this something you would favor or oppose?
2002,CITIZEN2,citizenship,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other",Original label: Recoded citizen
2002,CITIZEN2,citizenship,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other",Original label: Recoded citizen
2002,QN11_34,citizenship,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other",Original label: Q.11 What do you think are the two most important issues for the government to address?- Senior citizens/more help for the elderly
2002,QN11_34,citizenship,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other",Original label: Q.11 What do you think are the two most important issues for the government to address?- Senior citizens/more help for the elderly
2002,QN68,citizenship,citizenship_status,"1=Yes, 0=No",Original label: Q.68 Now we would like to ask you about US citizenship. Are you...?
2002,QN68,citizenship,citizenship_status,"1=Yes, 0=No",Original label: Q.68 Now we would like to ask you about US citizenship. Are you...?
2002,QN69,citizenship,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other",Original label: Q.69 What year did you become a citizen?
2002,QN69,citizenship,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other",Original label: Q.69 What year did you become a citizen?
2002,QN83,citizenship,citizenship_status,"1=Yes, 0=No","Original label: Q.83 As you may know, some countries allow people to be legal citizens of their country even if they are also US citizens. Are you a legal citizen of your country or origin?"
2002,QN83,citizenship,citizenship_status,"1=Yes, 0=No","Original label: Q.83 As you may know, some countries allow people to be legal citizens of their country even if they are also US citizens. Are you a legal citizen of your country or origin?"
2002,REC_69,citizenship,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other",Original label: 1996 Citizen
2002,REC_69,citizenship,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other",Original label: 1996 Citizen
2002,RQN69,citizenship,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other",Original label: What year did you become a citizen?
2002,RQN69,citizenship,citizenship_status,"1=US Citizen, 2=Permanent Resident, 3=Other",Original label: What year did you become a citizen?
