year,raw_name,concept,harmonized_name,manual_review_needed,original_label,review_status,reviewer_notes,final_harmonized_name,final_values_recode
2002,LANGUAGE,age,age,YES - Missing label,NA,PENDING,,age,
2002,PRILANG,age,age,YES - Indirect age measure,Primary Language,PENDING,,age,
2002,QN100,age,age,YES - Indirect age measure,"Q.100 Would you consider yourself a born-again or evangelical Christian, or not?",PENDING,,age,
2002,QN105,age,age,YES - Indirect age measure,Q.105 What is your age?,PENDING,,age,
2002,QN115,age,age,YES - Long/complex label,"Q.115 INTERVIEWER: In what language did the respondent complete the interview: Only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?",PENDING,,age,
2002,QN11_06,age,age,YES - Long/complex label,Q.11 What do you think are the two most important issues for the government to address?- Better wages/increase minimum wage,PENDING,,age,
2002,QN11_42,age,age,YES - Long/complex label,Q.11 What do you think are the two most important issues for the government to address?- Teenagers/youth/teen issues,PENDING,,age,
2002,QN12_31,age,age,YES - Long/complex label,Q.12 What do you think are the two most important health care issues for the government to address?- Lack of coverage/insurance for poor/lower income/minorities,PENDING,,age,
2002,QN12_35,age,age,YES - Long/complex label,Q.12 What do you think are the two most important health care issues for the government to address?- Inadequate coverage,PENDING,,age,
2002,QN12_43,age,age,YES - Long/complex label,Q.12 What do you think are the two most important health care issues for the government to address?- Other healthcare/insurance/coverage,PENDING,,age,
2002,QN12_44,age,age,YES - Long/complex label,Q.12 What do you think are the two most important health care issues for the government to address?- Shortage of healthcare professionals/doctors,PENDING,,age,
2002,QN12_68,age,age,YES - Long/complex label,Q.12 What do you think are the two most important health care issues for the government to address?- Aging/old age/being a senior,PENDING,,age,
2002,QN15A,age,age,YES - Long/complex label,"Q.15a For each of the following, please tell me whether or not it is something that has happened to you or your immediate family during the past year. Have you had problems paying your rent or mort...",PENDING,,age,
2002,QN25,age,age,YES - Long/complex label,Q.25 Some people say UNDOCUMENTED OR ILLEGAL immigrants help the economy by providing low-cost labor. Others say they hurt the economy by driving wages down. Which is closer to your views?,PENDING,,age,
2002,QN47A,age,age,YES - Long/complex label,Q.47a Please tell me if each of these has been a problem for you during the last 12 months? How about .... Difficulty communicating with doctors or other health care providers because of language b...,PENDING,,age,
2002,QN53,age,age,YES - Long/complex label,"Q.53 What language do you usually speak at home? Only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?",PENDING,,age,
2002,QN54,age,age,YES - Long/complex label,"Q.54 What language do you usually speak at work? Only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?",PENDING,,age,
2002,QN55,age,age,YES - Long/complex label,"Q.55 In what language are the news programs you usually watch on TV or listen to on the radio? Only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?",PENDING,,age,
2002,QN56,age,age,YES - Long/complex label,"Q.56 What language do your children usually speak with their friends? Only Spanish, more Spanish than English, both equally, more English than Spanish, or only English?",PENDING,,age,
2002,RQN105,age,age,YES - Indirect age measure,What is your age?,PENDING,,age,
2002,RQN55,age,age,YES - Indirect age measure,In what language are the news programs you usually watch on TV or listen to on the radio?,PENDING,,age,
2002,QN11_34,citizenship_status,citizenship_status,YES - Long/complex label,Q.11 What do you think are the two most important issues for the government to address?- Senior citizens/more help for the elderly,PENDING,,citizenship_status,
2002,QN26,citizenship_status,citizenship_status,YES - Long/complex label,Q.26 What would you think of a proposal that would give many of the undocumented or illegal Latino/Hispanic immigrants working in the U.S. a chance to obtain legal status? Is this something you wou...,PENDING,,citizenship_status,
2002,QN83,citizenship_status,citizenship_status,YES - Long/complex label,"Q.83 As you may know, some countries allow people to be legal citizens of their country even if they are also US citizens. Are you a legal citizen of your country or origin?",PENDING,,citizenship_status,
2002,QN15C,employment,employment_status,YES - Long/complex label,"Q.15c For each of the following, please tell me whether or not it is something that has happened to you or your immediate family during the past year. Have you lost your job or been laid off?",PENDING,,employment_status,
2002,QN16,employment,employment_status,YES - Multiple questions,Q.16 What is your employment status? Are you.... ?,PENDING,,employment_status,
2002,QN29A,employment,employment_status,YES - Long/complex label,Q.29a Do you agree or disagree that you can be more successful in American workplaces if you do each of the following. How about... Be willing to work long hours at the expense of your personal life,PENDING,,employment_status,
2002,QN29C,employment,employment_status,YES - Long/complex label,Q.29c Do you agree or disagree that you can be more successful in American workplaces if you do each of the following. How about... Do what is best for yourself rather than what is best for others,PENDING,,employment_status,
2002,QN36,employment,employment_status,YES - Long/complex label,Q.36 How would you rate the job religious institutions are doing in helping to solve your community's most important problems?,PENDING,,employment_status,
2002,QN96,employment,employment_status,YES - Complex question type,Q.96 Are any other adults in your household currently employed?,PENDING,,employment_status,
2002,COUNTL2B,ethnicity_race,hispanic_origin,YES - Long/complex label,Latino- Puerto Rican/Mexican/Cuban/Salvadoran/Dominican/Columbian/Other Central American/Other South American/Other,PENDING,,hispanic_origin,
2002,COUNTL2C,ethnicity_race,hispanic_origin,YES - Complex question type,Latino- Puerto Rican/Mexican/Cuban/Dominican//Other Central American/Other South American/Other,PENDING,,hispanic_origin,
2002,COUNTN2,ethnicity_race,hispanic_origin,YES - Complex question type,Non-Latino White/African-American/Asian/Other,PENDING,,hispanic_origin,
2002,COUNTOCA,ethnicity_race,hispanic_origin,YES - Complex question type,Count- Other Central American,PENDING,,hispanic_origin,
2002,QN1,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.1 Are you, yourself of Hispanic or Latin origin or descent such as Mexican, Puerto Rican, Cuban, Dominican, Central or South American, Caribbean or some other Latin American background?",PENDING,,hispanic_origin,
2002,QN11_40,ethnicity_race,hispanic_origin,YES - Long/complex label,Q.11 What do you think are the two most important issues for the government to address?- Hispanic issues/help Hispanics,PENDING,,hispanic_origin,
2002,QN12_88,ethnicity_race,hispanic_origin,YES - Long/complex label,Q.12 What do you think are the two most important health care issues for the government to address?- Pay more attention to Hispanics/Hispanic issues,PENDING,,hispanic_origin,
2002,QN13,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.13 Based on your experience, do you think political leaders are interested in the problems of particular concern to Latinos/Hispanics living here, or not?",PENDING,,hispanic_origin,
2002,QN21A,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.21a How confident are you that Latino/Hispanic children growing up now in the United States... Will get a better education than you? Are you very confident, somewhat confident, not too confident,...",PENDING,,hispanic_origin,
2002,QN21B,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.21b How confident are you that Latino/Hispanic children growing up now in the United States... Will have better jobs and make more money than you? Are you very confident, somewhat confident, not ...",PENDING,,hispanic_origin,
2002,QN21C,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.21c How confident are you that Latino/Hispanic children growing up now in the United States... Will have the same moral values as you? Are you very confident, somewhat confident, not too confiden...",PENDING,,hispanic_origin,
2002,QN21D,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.21d How confident are you that Latino/Hispanic children growing up now in the United States... Will stay as close to their families as you? Are you very confident, somewhat confident, not too con...",PENDING,,hispanic_origin,
2002,QN27,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.27 What do you think of a guest worker proposal that would allow Latinos/Hispanics to enter the country legally and work here for a limited period of time, but then they would have to go home, wo...",PENDING,,hispanic_origin,
2002,QN28,ethnicity_race,hispanic_origin,YES - Long/complex label,Q.28 Do you think adult Latino/Hispanic immigrants need to learn to speak English to succeed in the US or can they succeed even if they only speak Spanish?,PENDING,,hispanic_origin,
2002,QN29B,ethnicity_race,hispanic_origin,YES - Long/complex label,Q.29b Do you agree or disagree that you can be more successful in American workplaces if you do each of the following. How about... Get along with people of different races and cultures,PENDING,,hispanic_origin,
2002,QN30,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.30 If you were talking to a Latino/Hispanic immigrant who had just arrived in this country, which of the following statements offers the best advice?",PENDING,,hispanic_origin,
2002,QN32B,ethnicity_race,hispanic_origin,YES - Long/complex label,Q.32b People choose different terms to describe themselves. I'm going to read you a few different descriptions. Please tell me whether you have ever described yourself as any of the following-- A L...,PENDING,,hispanic_origin,
2002,QN33A,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.33a You have said that you describe yourself as an American/Latino/Hispanic/Respondent/parent Country of origin? In general, which of the terms that you use to describe yourself is the term you u...",PENDING,,hispanic_origin,
2002,QN3A,ethnicity_race,hispanic_origin,YES - Long/complex label,Q.3a The terms Hispanic and Latino are both used to describe people who are of Hispanic or Latin origin or descent. Do you happen to prefer one of these terms more than the other?,PENDING,,hispanic_origin,
2002,QN47B,ethnicity_race,hispanic_origin,YES - Long/complex label,Q.47b Please tell me if each of these has been a problem for you during the last 12 months? How about .... Having difficulty getting care because of your race or ethnic background,PENDING,,hispanic_origin,
2002,QN57A,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.57a In general, do you think discrimination against Latinos/Hispanics is a major problem, minor problem, or not a problem in... schools",PENDING,,hispanic_origin,
2002,QN57B,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.57b In general, do you think discrimination against Latinos/Hispanics is a major problem, minor problem, or not a problem in... the workplace",PENDING,,hispanic_origin,
2002,QN57D,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.57d In general, do you think discrimination against Latinos/Hispanics is a major problem, minor problem, or not a problem in... preventing Latinos/Hispanics in general from succeeding in America",PENDING,,hispanic_origin,
2002,QN58,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.58 Do you think Latinos/Hispanics discriminating against other Latinos/Hispanics is a major problem, a minor problem or not a problem?",PENDING,,hispanic_origin,
2002,QN59,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.59 Do you think Latinos/Hispanics discriminate against each other mainly because Latinos/Hispanics come from different countries, have different levels of income and education, or because of diff...",PENDING,,hispanic_origin,
2002,QN60,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.60 During the last 5 years, have you, a family member, or close friend experienced discrimination because of your racial or ethnic background, or not?",PENDING,,hispanic_origin,
2002,QN62A,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.62a In your day-to-day life, how often do any of the following things happen to you because of your racial or ethnic background? You are treated with less respect than other people.",PENDING,,hispanic_origin,
2002,QN62B,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.62b In your day-to-day life, how often do any of the following things happen to you because of your racial or ethnic background? You receive poorer service than other peoplle at restaurants or st...",PENDING,,hispanic_origin,
2002,QN62C,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.62c In your day-to-day life, how often do any of the following things happen to you because of your racial or ethnic background? You are called names or insulted.",PENDING,,hispanic_origin,
2002,QN63,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.63 Has there ever been a time when you have NOT been hired or promoted for a job because of your race or ethnic background, or has this not happened to you?",PENDING,,hispanic_origin,
2002,QN7,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.7 What race do you consider yourself to be? White, Black or African-American, Asian or some other race?",PENDING,,hispanic_origin,
2002,QN72,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.72 The US government has traditionally divided people into racial categories. Earlier you told me you were (Race in QN7), if you had a choice, would you prefer to call yourself (Race in QN7) or d...",PENDING,,hispanic_origin,
2002,QN73,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.73 Earlier you were asked what your race was and you said it was not one of the categories listed by the US government, but that it was some other race. What race is that?",PENDING,,hispanic_origin,
2002,QN74,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.74 Would you prefer that (Answer given in QN73) be one of the options given when you are asked about your race, or not?",PENDING,,hispanic_origin,
2002,QN76,ethnicity_race,hispanic_origin,YES - Long/complex label,"Q.76 Which party do you think has more concern for Latinos/Hispanics --the Democratic party, the Republican party, or is there no difference?",PENDING,,hispanic_origin,
2002,QN12_58,gender,gender,YES - Long/complex label,Q.12 What do you think are the two most important health care issues for the government to address?- Insurance company/managed care determines payout,PENDING,,gender,
2002,QN12_59,gender,gender,YES - Long/complex label,Q.12 What do you think are the two most important health care issues for the government to address?- HMO-driven healthcare/too many/restrictive,PENDING,,gender,
2002,QN12_79,gender,gender,YES - Long/complex label,Q.12 What do you think are the two most important health care issues for the government to address?- Human cloning/cloning,PENDING,,gender,
