survey_year,gender,age,citizenship_status,place_birth,parent_nativity,immigrant_generation,hispanic_origin,language_home,political_party,education,income,employment,marital_status,religion,geography,immigration_attitude,political_trust,vote_intention
2002,NA,24,1,2,1,2,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,47,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,1,1,NA,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,35,2,1,NA,1,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,52,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,18,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,39,2,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,59,1,2,1,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,44,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,35,2,1,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,19,1,2,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,41,1,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,32,2,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,1,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,28,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,45,1,1,NA,1,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,35,1,2,1,1,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,1,2,1,2,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,36,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,63,1,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,66,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,71,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,1,2,1,2,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,34,2,1,NA,1,NA,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,22,1,2,NA,3,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,37,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,69,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,60,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,53,1,2,1,1,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,56,1,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,42,1,2,1,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,1,2,1,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,38,1,2,2,2,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,1,2,NA,3,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,27,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,71,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,30,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,21,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,33,2,1,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
