era,generation_label,mean_value,n,variable
Biden,1st Generation,0.13180624414206885,5182,liberalism_index
Biden,2nd Generation,-0.15094324169449608,4932,liberalism_index
Biden,3rd+ Generation,0.06575593684312792,620,liberalism_index
Bush,1st Generation,-0.25028880607400383,3228,liberalism_index
Bush,2nd Generation,0.02977269495108293,1086,liberalism_index
Bush,3rd+ Generation,0.33786209968884023,727,liberalism_index
Obama,1st Generation,-0.050447224530013046,1651,liberalism_index
Obama,2nd Generation,-0.010571218445709222,2028,liberalism_index
Obama,3rd+ Generation,0.17095713201396656,505,liberalism_index
Trump,1st Generation,-0.18313311609456184,731,liberalism_index
Trump,2nd Generation,0.040491339327085894,324,liberalism_index
Trump,3rd+ Generation,0.3170872822670905,384,liberalism_index
Biden,1st Generation,0.044781926863819155,5167,restrictionism_index
Biden,2nd Generation,-0.04537738379747875,4956,restrictionism_index
Biden,3rd+ Generation,6.918202323341142e-4,621,restrictionism_index
Bush,1st Generation,-0.06841255008631264,3064,restrictionism_index
Bush,2nd Generation,0.10639540075019918,805,restrictionism_index
Bush,3rd+ Generation,-0.005696069701052985,664,restrictionism_index
Obama,1st Generation,-0.08913427585411111,2480,restrictionism_index
Obama,2nd Generation,0.05611060412931114,2741,restrictionism_index
Obama,3rd+ Generation,0.12695351491155324,522,restrictionism_index
Trump,1st Generation,-0.13934600066745445,735,restrictionism_index
Trump,2nd Generation,0.14092437672617167,336,restrictionism_index
Trump,3rd+ Generation,0.12907755331100962,395,restrictionism_index
Biden,1st Generation,-1.7645123839009347,5168,legalization_support
Biden,2nd Generation,-2.3254257907542595,4932,legalization_support
Biden,3rd+ Generation,-1.9919354838709675,620,legalization_support
Bush,1st Generation,1.0415117719950433,3228,legalization_support
Bush,2nd Generation,1.12707182320442,1086,legalization_support
Bush,3rd+ Generation,1.2228335625859699,727,legalization_support
Obama,1st Generation,1.1018276762402088,383,legalization_support
Obama,2nd Generation,1.0741301059001513,661,legalization_support
Obama,3rd+ Generation,1.1338912133891212,239,legalization_support
Biden,1st Generation,-1.6460784313725494,3060,daca_support
Biden,2nd Generation,-1.9523809523809523,21,daca_support
Biden,3rd+ Generation,-1.731707317073171,123,daca_support
Obama,1st Generation,1.2925867507886433,1268,daca_support
Obama,2nd Generation,1.5559619604974382,1367,daca_support
Obama,3rd+ Generation,1.150375939849624,266,daca_support
Trump,1st Generation,1.0465116279069768,731,daca_support
Trump,2nd Generation,1.1141975308641974,324,daca_support
Trump,3rd+ Generation,1.1979166666666665,384,daca_support
Obama,1st Generation,-1.563157894736842,380,border_wall_support
Obama,2nd Generation,-1.75,652,border_wall_support
Obama,3rd+ Generation,-1.5450819672131149,244,border_wall_support
Trump,1st Generation,-1.8766328011611033,689,border_wall_support
Trump,2nd Generation,-1.7292307692307691,325,border_wall_support
Trump,3rd+ Generation,-1.6579634464751958,383,border_wall_support
Biden,1st Generation,2.5290788446526142,5124,deportation_policy_support
Biden,2nd Generation,2.238693976880958,4931,deportation_policy_support
Biden,3rd+ Generation,2.3150242326332795,619,deportation_policy_support
Obama,1st Generation,2.1260053619302948,373,deportation_policy_support
Obama,2nd Generation,2.238897396630934,653,deportation_policy_support
Obama,3rd+ Generation,2.0081967213114753,244,deportation_policy_support
Biden,1st Generation,1.8427184466019428,5150,border_security_support
Biden,2nd Generation,1.8571717171717164,4950,border_security_support
Biden,3rd+ Generation,1.8983870967741936,620,border_security_support
Obama,1st Generation,1.4414893617021276,376,border_security_support
Obama,2nd Generation,1.5666156202143948,653,border_security_support
Obama,3rd+ Generation,1.3045267489711934,243,border_security_support
