survey_year,generation_label,n,sum_weights,weighted_mean,weighted_se,ci_lower,ci_upper,variable
2002,1st Generation,1974,1974,-0.29735148967252345,0.5595731257316189,-1.3941148161064962,0.7994118367614494,liberalism_index
2002,2nd Generation,513,513,-0.008620740792168723,0.9920946095758795,-1.9531261755608926,1.935884693976555,liberalism_index
2002,3rd+ Generation,348,348,0.17463897527312508,1.150867734855474,-2.0810617850436035,2.430339735589854,liberalism_index
2004,1st Generation,1254,1254,-0.17620448595958485,0.6935605146394892,-1.5355830946529836,1.183174122733814,liberalism_index
2004,2nd Generation,573,573,0.06414587564268433,1.0840126994233716,-2.0605190152271238,2.1888107665124927,liberalism_index
2004,3rd+ Generation,379,379,0.48773451999666995,1.4552105418603403,-2.364478142049597,3.3399471820429367,liberalism_index
2010,1st Generation,383,383,0.020266777760221198,1.0282046198204544,-1.9950142770878692,2.0355478326083114,liberalism_index
2010,2nd Generation,661,661,-0.07377931747109613,0.8902257415392908,-1.818621770888106,1.6710631359459138,liberalism_index
2010,3rd+ Generation,239,239,0.1291373548952269,1.1587021888976736,-2.141918935344213,2.4001936451346673,liberalism_index
2011,1st Generation,718,718,-0.10079813429815274,0.8131097993847589,-1.6944933410922802,1.4928970724959747,liberalism_index
2011,2nd Generation,219,219,0.08488535485202921,1.1290038527006117,-2.1279621964411692,2.297732906145228,liberalism_index
2011,3rd+ Generation,257,257,0.2092730261224879,1.2823244424551383,-2.3040828810895833,2.722628933334559,liberalism_index
2012,1st Generation,550,550,-0.03395906028207632,0.985510932013104,-1.96556048702776,1.8976423664636075,liberalism_index
2012,2nd Generation,1148,1148,0.007613070668903603,1.004262464411529,-1.960741359577693,1.9759675009155004,liberalism_index
2012,3rd+ Generation,9,9,0.18737290373492727,1.4655824561704187,-2.6851687103590933,3.0599145178289477,liberalism_index
2018,1st Generation,731,731,-0.18313311609456173,0.6962365172137146,-1.5477566898334423,1.1814904576443188,liberalism_index
2018,2nd Generation,324,324,0.04049133932708617,1.0524200494385967,-2.0222519575725633,2.103234636226736,liberalism_index
2018,3rd+ Generation,384,384,0.3170872822670914,1.3180692378498347,-2.2663284239185844,2.900502988452767,liberalism_index
2021,1st Generation,3071,3071,-0.001072133177331837,0.8952857257085101,-1.7558321555660115,1.7536878892113479,liberalism_index
2021,2nd Generation,21,21,-0.23336646663313287,0.9440455653764602,-2.083695774770995,1.616962841504729,liberalism_index
2021,3rd+ Generation,125,125,0.003087802042937397,0.8644346115860588,-1.691204036665738,1.6973796407516129,liberalism_index
2022,1st Generation,2111,2111,0.32511249556218247,0.9140107671359429,-1.4663486080242656,2.1165735991486305,liberalism_index
2022,2nd Generation,4911,4911,-0.15059079051882884,1.0051852036109834,-2.120753789596356,1.8195722085586985,liberalism_index
2022,3rd+ Generation,495,495,0.08158122340883242,0.976493261386709,-1.8323455689091173,1.9955080157267822,liberalism_index
2002,1st Generation,1866,1866,-0.07936577824442141,0.9827665116397005,-2.0055881410582344,1.8468565845693916,restrictionism_index
2002,2nd Generation,496,496,0.08276726321656776,0.9980142499490031,-1.8733406666834784,2.038875193116614,restrictionism_index
2002,3rd+ Generation,342,342,-0.0694054265875968,0.9952503532022688,-2.0200961188640436,1.8812852656888501,restrictionism_index
2007,1st Generation,1198,1198,-0.0513518457932999,1.0027635049936403,-2.0167683155808347,1.914064623994235,restrictionism_index
2007,2nd Generation,309,309,0.14432276714722483,0.9771585589281493,-1.7709080083519477,2.0595535426463973,restrictionism_index
2007,3rd+ Generation,322,322,0.0619703900976979,0.9974907192311392,-1.8931114195953347,2.0170521997907307,restrictionism_index
2010,1st Generation,404,404,0.008135316154069823,0.46147061012614593,-0.8963470796931762,0.9126177120013158,restrictionism_index
2010,2nd Generation,687,687,0.018032554401662067,0.4555672312200834,-0.8748792187897014,0.9109443275930256,restrictionism_index
2010,3rd+ Generation,255,255,-0.03485386155540225,0.5083743419088035,-1.031267571696657,0.9615598485858525,restrictionism_index
2011,1st Generation,718,718,-0.14898223471715177,0.8692553707370592,-1.8527227613617878,1.554758291927484,restrictionism_index
2011,2nd Generation,222,222,0.1350367684987177,1.0538911622945506,-1.9305899095986014,2.200663446596037,restrictionism_index
2011,3rd+ Generation,259,259,0.2972628645567577,1.1941366631771149,-2.0432449952703875,2.637770724383903,restrictionism_index
2012,1st Generation,557,557,0.0013165403345810976,1.0513387824612446,-2.0593074732894583,2.0619405539586206,restrictionism_index
2012,2nd Generation,1152,1152,-0.005790887019185103,0.9745938043029599,-1.9159947434529867,1.9044129694146164,restrictionism_index
2012,3rd+ Generation,8,8,-0.22920155496771497,0.8088330152746057,-1.814514264905942,1.3561111549705123,restrictionism_index
2016,1st Generation,801,801,-0.14744536864405347,0.8240480225331466,-1.7625794928090208,1.4676887555209137,restrictionism_index
2016,2nd Generation,680,680,0.17368197100571492,1.1505454589917916,-2.0813871286181964,2.4287510706296267,restrictionism_index
2018,1st Generation,735,735,-0.13934600066745398,0.676937863602736,-1.4661442133288165,1.1874522119939084,restrictionism_index
2018,2nd Generation,336,336,0.14092437672617172,0.726686488959949,-1.2833811416353285,1.5652298950876717,restrictionism_index
2018,3rd+ Generation,395,395,0.1290775533110097,0.7222421192311901,-1.2865170003821227,1.5446721070041423,restrictionism_index
2021,1st Generation,3056,3056,0.016490283373692738,0.8791163592298634,-1.7065777807168394,1.739558347464225,restrictionism_index
2021,2nd Generation,21,21,-0.09623451358043551,0.9511192925020528,-1.960428326884459,1.767959299723588,restrictionism_index
2021,3rd+ Generation,125,125,-0.32842047125565293,0.6824912819195433,-1.6661033838179578,1.009262441306652,restrictionism_index
2022,1st Generation,2111,2111,0.08573846997411014,0.8347487665853148,-1.550369112533107,1.7218460524813273,restrictionism_index
2022,2nd Generation,4935,4935,-0.04516097047925486,0.9194323283688529,-1.8472483340822066,1.756926393123697,restrictionism_index
2022,3rd+ Generation,496,496,0.08363342595007317,0.9394079667752218,-1.7576061889293615,1.9248730408295076,restrictionism_index
2002,1st Generation,1974,1974,1.0405268490374873,0.19724130352957278,0.6539338941195246,1.42711980395545,legalization_support
2002,2nd Generation,513,513,1.142300194931774,0.34969877040031766,0.4568906049471513,1.8277097849163966,legalization_support
2002,3rd+ Generation,348,348,1.206896551724138,0.4056639637870885,0.41179518270144444,2.0019979207468315,legalization_support
2004,1st Generation,1254,1254,1.0430622009569377,0.20307815036160767,0.6450290262481866,1.4410953756656888,legalization_support
2004,2nd Generation,573,573,1.1134380453752182,0.3174045945822239,0.4913250399940593,1.735551050756377,legalization_support
