index,generation,slope,se,p_value,significance,n_obs
liberalism_index,First Generation,0.021241439240078687,0.00088811757120089345,6.590984255104992e-123,***,9770
liberalism_index,Second Generation,-0.014308886430757308,0.0019168652331432528,9.439520221628712e-14,***,6500
liberalism_index,Third+ Generation,-0.006817164655075065,0.0032091909358376927,0.03379928117651337,*,1622
restrictionism_index,First Generation,0.006589024498514747,0.0012106287723100033,5.3764847361067924e-8,***,9770
restrictionism_index,Second Generation,-0.007877179237423444,0.002035181074081124,1.0967385723464479e-4,***,6500
restrictionism_index,Third+ Generation,0.0018317985326776818,0.0030056355726119036,0.5423085962772792,ns,1622
concern_index,First Generation,0.019445903659355564,0.002250653136795343,6.496357356227051e-18,***,9770
concern_index,Second Generation,-0.05827479107937162,0.017163958584445787,6.899326901377458e-4,***,6500
concern_index,Third+ Generation,-0.031999516827652695,0.007110730396793912,7.273913544177502e-6,***,1622
liberal_orientation,First Generation,0.014969669583936085,0.0014384915328825843,3.136631625623252e-25,***,9770
liberal_orientation,Second Generation,-0.0010710184930791827,0.0033748368055103633,0.750985083489119,ns,6500
liberal_orientation,Third+ Generation,-0.00970900044714147,0.004773375240984936,0.04211517859523303,*,1622
overall_liberal_composite,First Generation,0.025884630361128907,0.001103039596367532,1.6309772870803264e-118,***,9770
overall_liberal_composite,Second Generation,-0.06265633470739908,0.04323185301217565,0.1472994299397246,ns,6500
