survey_year,total_obs,obs_with_generation,liberalism_mean,liberalism_se,liberalism_n,restrictionism_mean,restrictionism_se,restrictionism_n,concern_mean,concern_se,concern_n
2002,4213,2902,1.865104053039849e-15,0.01564219447851737,4087,-7.600451530587988e-17,0.016000512024577765,3906,NA,NA,0
2004,2288,2286,-1.2342180417775858e-15,0.02128141326896896,2208,NA,NA,0,NA,NA,0
2007,2000,1996,NA,NA,0,6.077137822566086e-16,0.023363465675799895,1832,-8.947982436973855e-17,0.022479005982349795,1979
2010,1375,1354,2.111467102047844e-17,0.027692438781086025,1304,0.004639034981687527,0.01266593870034351,1367,1.835133352468641e-16,0.02711630722733207,1360
2011,1220,1220,1.8578103879405886e-16,0.028939954008661426,1194,3.137143959491268e-16,0.028879549112895447,1199,NA,NA,0
2012,1765,1747,-6.680657573933511e-16,0.024084152542954054,1724,3.830846007791275e-16,0.024021532944603005,1733,NA,NA,0
2016,1507,1507,NA,NA,0,-2.009046391624186e-16,0.025984985016737048,1481,NA,NA,0
2018,1501,1498,8.427532057938256e-16,0.026334032657486333,1442,-0.0027668841104421475,0.01860600987937248,1469,-2.6651341656544553e-17,0.025967457200228992,1483
2021,3375,3230,-0.001400609685189793,0.015405269345642543,3355,3.839802771643075e-4,0.015099758349385725,3339,6.868385119468237e-17,0.017287692604876663,3346
2022,7647,7606,7.233133138587939e-16,0.011506420936118601,7553,-2.934840299169328e-4,0.010332761201490513,7578,NA,NA,0
